dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Draba verna L.	7473187	accepted	Draba verna L., 1753	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	wd_batch_update_gbif_taxonid
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. macrosperma (Sebald) Jonsell	7836459	synonym	Erophila verna subsp. macrosperma (Sebald) Jonsell, 2000	2878849	exact_match	Erophila macrosperma	http://www.wikidata.org/entity/Q55856665				wd_batch_add_ncbi_taxonid
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna var. macrosperma Sebald	8222455	synonym	Erophila verna var. macrosperma Sebald, 1969	2878849	exact_match	Erophila macrosperma	http://www.wikidata.org/entity/Q50999502				wd_batch_add_ncbi_taxonid
Botrychium virginianum (L.) Sw.	2650159	7851429	Botrypus virginianus (L.) Michx.	Botrychium virginianum (L.) Sw.	2650159	synonym	Botrychium virginianum (L.) Sw.	167744	exact_match	Botrypus virginianus	http://www.wikidata.org/entity/Q17258002				wd_batch_add_ncbi_taxonid
Asplenium adulterinum Milde	2650652	2650652	Asplenium adulterinum Milde	Asplenium adulterinum Milde	2650652	accepted	Asplenium adulterinum Milde	468249	exact_match	Asplenium x adulterinum	http://www.wikidata.org/entity/Q901435				wd_batch_add_ncbi_taxonid
Lycopodium annotinum L.	2688369	9707050	Spinulum annotinum subsp. annotinum	Lycopodium annotinum L.	2688369	synonym	Lycopodium annotinum L.	13840	exact_match	Spinulum annotinum	http://www.wikidata.org/entity/Q1138172				wd_batch_add_ncbi_taxonid
Juncus monanthos Jacq.	2701688	9237427	Oreojuncus monanthos (Jacq.) Záv.Drábk. & Kirschner	Juncus monanthos Jacq.	2701688	homotypic synonym	Juncus monanthos Jacq.	336229	exact_match	Oreojuncus monanthos	http://www.wikidata.org/entity/Q1306133				wd_batch_add_ncbi_taxonid
Deschampsia flexuosa (L.) Trin.	2703179	4149465	Avenella flexuosa (L.) Drejer	Deschampsia flexuosa (L.) Trin.	2703179	homotypic synonym	Deschampsia flexuosa (L.) Trin., 1836	29672	exact_match	Avenella flexuosa	http://www.wikidata.org/entity/Q161742				wd_batch_add_ncbi_taxonid
Achnatherum splendens (Trin.) Nevski	2703407	4132668	Stipa splendens Trin.	Achnatherum splendens (Trin.) Nevski	2703407	homotypic synonym	Achnatherum splendens (Trin.) Nevski, 1917	665470	exact_match	Neotrinia splendens	http://www.wikidata.org/entity/Q12570316				wd_batch_add_ncbi_taxonid
Brachiaria platyphylla (Munro ex C.Wright) Nash	2705857	2705857	Brachiaria platyphylla (Munro ex C.Wright) Nash	Brachiaria platyphylla (Munro ex C.Wright) Nash	2705857	accepted	Brachiaria platyphylla (Munro ex C.Wright) Nash	200625	exact_match	Urochloa platyphylla	http://www.wikidata.org/entity/Q15509399				wd_batch_add_ncbi_taxonid
Brachiaria texana (Buckley) S.T.Blake	2705859	2705859	Brachiaria texana (Buckley) S.T.Blake	Brachiaria texana (Buckley) S.T.Blake	2705859	accepted	Brachiaria texana (Buckley) S.T.Blake	649773	exact_match	Urochloa texana	http://www.wikidata.org/entity/Q15510207				wd_batch_add_ncbi_taxonid
Pennisetum flaccidum Griseb.	2706137	5828216	Cenchrus flaccidus (Griseb.) Morrone	Pennisetum flaccidum Griseb.	2706137	homotypic synonym	Pennisetum flaccidum Griseb., 1868	192627	exact_match	Cenchrus flaccidus	http://www.wikidata.org/entity/Q15507251				wd_batch_add_ncbi_taxonid
Festuca gigantea (L.) Vill.	2706229	8368313	Lolium giganteum (L.) Darbysh.	Festuca gigantea (L.) Vill.	2706229	homotypic synonym	Festuca gigantea (L.) Vill., 1787	29677	exact_match	Lolium giganteum	http://www.wikidata.org/entity/Q159968				wd_batch_add_ncbi_taxonid
Blysmus rufus (Huds.) Link	2710633	2710633	Blysmus rufus (Huds.) Link	Blysmus rufus (Huds.) Link	2710633	accepted	Blysmus rufus (Huds.) Link	1122272	exact_match	Blysmopsis rufa	http://www.wikidata.org/entity/Q159442				wd_batch_add_ncbi_taxonid
Schoenoplectus supinus (L.) Palla	2710778	2710765	Schoenoplectiella supina (L.) Lye	Schoenoplectus supinus (L.) Palla	2710778	homotypic synonym	Schoenoplectus supinus (L.) Palla, 1888	704092	exact_match	Schoenoplectiella supina	http://www.wikidata.org/entity/Q21398820				wd_batch_add_ncbi_taxonid
Scilla tmolusi (Whittall) Speta	2767276	2767275	Scilla forbesii (Baker) Speta	Chionodoxa forbesii Baker	2767279	homotypic synonym	Chionodoxa forbesii Baker	1640889	exact_match	Scilla forbesii	http://www.wikidata.org/entity/Q5101435				wd_batch_add_ncbi_taxonid
