dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Euphorbia cyparissias × esula	10020369	10020369	Euphorbia cyparissias × esula	Euphorbia cyparissias × esula	10020369	accepted	Euphorbia cyparissias x Euphorbia esula	526189	noauthor	Euphorbia cyparissias x Euphorbia esula					possible_homonym
Salix fragilis × triandra	10074792	7266493	Salix triandra subsp. triandra	Salix hastata Thuill.	8416690	heterotypic synonym	Salix hastata	75710	noauthor	Salix hastata			http://www.wikidata.org/entity/Q158425	5372554	possible_homonym
Salix fragilis × triandra	10074792	7266493	Salix triandra subsp. triandra	Salix pentandra Thuill	8269659	heterotypic synonym	Salix pentandra	75715	noauthor	Salix pentandra			http://www.wikidata.org/entity/Q158912	5372647	possible_homonym
Salix fragilis × triandra	10074792	7266493	Salix triandra subsp. triandra	Salix triandroides Ehrh.	8565842	homotypic synonym	Salix triandroides	1413699	noauthor	Salix triandroides			http://www.wikidata.org/entity/Q11054867	5582250	possible_homonym
Salix fragilis × triandra	10074792	7266493	Salix triandra subsp. triandra	Salix triandroides Ehrh. ex Andersson	7509555	heterotypic synonym	Salix triandroides	1413699	noauthor	Salix triandroides			http://www.wikidata.org/entity/Q11054867	5582250	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Draba lanceolata Rouy & Foucaud	7719789	synonym	Draba lanceolata	208924	noauthor	Draba lanceolata			http://www.wikidata.org/entity/Q15238065	3049640	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Draba macrocarpa Boiss. & Heldr.	7547494	heterotypic synonym	Draba macrocarpa	311952	noauthor	Draba macrocarpa					possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Draba stenocarpa (Jord.) Hayek & Wibiral	7688901	synonym	Draba stenocarpa	208944	noauthor	Draba stenocarpa			http://www.wikidata.org/entity/Q15236125	3049672	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila glabrescens Jord.	3050069	synonym	Erophila glabrescens Jord., 1851	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	gbif_verify_synonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila majuscula Jord.	3050061	synonym	Erophila majuscula Jord., 1851	161951	exact_match	Draba verna	http://www.wikidata.org/entity/Q98092578		http://www.wikidata.org/entity/Q164032	3050018	other
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna (L.) Besser	8398734	synonym	Erophila verna (L.) DC., 1821	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna (L.) Chevall.	8347331	synonym	Erophila verna (L.) DC., 1821	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna (L.) DC.	8675470	homotypic synonym	Erophila verna (L.) DC., 1821	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	gbif_verify_synonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) Diklic	11232971	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) E.Schmid	9256644	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) Gremli	9564842	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) Vollm.	3050063	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna	http://www.wikidata.org/entity/Q21383444	1155266	http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) Walp.	7650622	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna subsp. praecox (Steven) Walters	8330796	homotypic synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	gbif_verify_synonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna var. praecox (Steven) Diklic	6392466	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna var. praecox (Steven) M.Bieb.	8206958	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	author_mismatch	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	possible_homonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila verna var. praecox (Steven) Walters	11348279	synonym	Erophila verna subsp. praecox (Steven) Walters, 1964	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	gbif_verify_synonym
Draba boerhaavii (H.C.Hall) Raus	10168552	7473187	Draba verna L.	Erophila vulgaris DC.	3050075	synonym	Erophila vulgaris DC., 1821	161951	exact_match	Draba verna			http://www.wikidata.org/entity/Q164032	3050018	gbif_verify_synonym
Anemone nemorosa × ranunculoides	10246936	10246936	Anemone nemorosa x ranunculoides	Anemone nemorosa x ranunculoides	10246936	accepted	Anemone nemorosa x Anemone ranunculoides	167996	noauthor	Anemone nemorosa x Anemone ranunculoides					possible_homonym
Carduus acanthoides × nutans	10273374	10273374	Carduus acanthoides × nutans	Carduus acanthoides × nutans	10273374	accepted	Carduus acanthoides x Carduus nutans	1664065	noauthor	Carduus acanthoides x Carduus nutans					possible_homonym
Sparganium angustifolium × emersum	10278224	10278224	Sparganium angustifolium × emersum	Sparganium angustifolium × emersum	10278224	accepted	Sparganium angustifolium x Sparganium emersum	1407754	noauthor	Sparganium angustifolium x Sparganium emersum					possible_homonym
