dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Verbascum phlomoides × phoeniceum	10002611	10002611	Verbascum phlomoides × phoeniceum	Verbascum phlomoides × phoeniceum	10002611	accepted									no_match_incl_synonyms
Carex lasiocarpa × riparia	10005045	10005045	Carex lasiocarpa × riparia	Carex lasiocarpa × riparia	10005045	accepted									no_match_incl_synonyms
Cirsium oleraceum × palustre	10008311	10008311	Cirsium oleraceum × palustre	Cirsium oleraceum × palustre	10008311	accepted									no_match_incl_synonyms
Carex bigelowii × nigra	10011062	10011062	Carex bigelowii × nigra	Carex bigelowii × nigra	10011062	accepted									no_match_incl_synonyms
Carex acuta × cespitosa	10025506	10025506	Carex acuta × cespitosa	Carex acuta × cespitosa	10025506	accepted									no_match_incl_synonyms
Equisetum pratense × sylvaticum	10030618	10030618	Equisetum pratense x sylvaticum	Equisetum pratense x sylvaticum	10030618	accepted									no_match_incl_synonyms
Betula pendula × pubescens	10030707	10030707	Betula pendula × pubescens	Betula pendula × pubescens	10030707	accepted									no_match_incl_synonyms
Carex dioica × echinata	10030995	10030995	Carex dioica × echinata	Carex dioica × echinata	10030995	accepted									no_match_incl_synonyms
Verbascum nigrum × thapsus	10033441	10033441	Verbascum nigrum × thapsus	Verbascum nigrum × thapsus	10033441	accepted									no_match_incl_synonyms
Festuca pratensis × Lolium multiflorum	10042643	10001562	Lolium multiflorum × Schedonorus pratensis	Festuca pratensis × Lolium multiflorum	10042643	synonym									no_match_incl_synonyms
Scilla forbesii × sardensis	10048956	10048956	Scilla forbesii × sardensis	Scilla forbesii × sardensis	10048956	accepted									no_match_incl_synonyms
Dryopteris carthusiana × expansa	10067318	10067318	Dryopteris carthusiana × expansa	Dryopteris carthusiana × expansa	10067318	accepted									no_match_incl_synonyms
Rumex hydrolapathum × obtusifolius	10070248	10070248	Rumex hydrolapathum × obtusifolius	Rumex hydrolapathum × obtusifolius	10070248	accepted									no_match_incl_synonyms
Juncus conglomeratus × effusus	10074597	10074597	Juncus conglomeratus × effusus	Juncus conglomeratus × effusus	10074597	accepted									no_match_incl_synonyms
Verbascum lychnitis × phoeniceum	10077025	10077025	Verbascum lychnitis × phoeniceum	Verbascum lychnitis × phoeniceum	10077025	accepted									no_match_incl_synonyms
Epilobium ciliatum × montanum	10091360	10091360	Epilobium ciliatum × montanum	Epilobium ciliatum × montanum	10091360	accepted									no_match_incl_synonyms
Rumex conglomeratus × obtusifolius	10102403	10102403	Rumex conglomeratus × obtusifolius	Rumex conglomeratus × obtusifolius	10102403	accepted									no_match_incl_synonyms
Rumex crispus × hydrolapathum	10105739	10105739	Rumex crispus x hydrolapathum	Rumex crispus x hydrolapathum	10105739	accepted									no_match_incl_synonyms
Rumex obtusifolius × sanguineus	10116009	10116009	Rumex obtusifolius × sanguineus	Rumex obtusifolius × sanguineus	10116009	accepted									no_match_incl_synonyms
Malva neglecta × pusilla	10117828	10117828	Malva neglecta × pusilla	Malva neglecta × pusilla	10117828	accepted									no_match_incl_synonyms
Ajuga genevensis × pyramidalis	10121026	10121026	Ajuga genevensis × pyramidalis	Ajuga genevensis × pyramidalis	10121026	accepted									no_match_incl_synonyms
Epipactis helleborine × purpurata	10124110	10124110	Epipactis helleborine × purpurata	Epipactis helleborine × purpurata	10124110	accepted									no_match_incl_synonyms
Chenopodium album × opulifolium	10132962	10132962	Chenopodium album × opulifolium	Chenopodium album × opulifolium	10132962	accepted									no_match_incl_synonyms
Hypericum maculatum × tetrapterum	10134367	10134367	Hypericum maculatum × tetrapterum	Hypericum maculatum × tetrapterum	10134367	accepted									no_match_incl_synonyms
Rumex crispus × palustris	10145201	10145201	Rumex crispus x palustris	Rumex crispus x palustris	10145201	accepted									no_match_incl_synonyms
Sonchus asper × oleraceus	10145276	10145276	Sonchus asper × oleraceus	Sonchus asper × oleraceus	10145276	accepted									no_match_incl_synonyms
Alopecurus geniculatus × pratensis	10149233	10149233	Alopecurus geniculatus × pratensis	Alopecurus geniculatus × pratensis	10149233	accepted									no_match_incl_synonyms
