qid,P685,#,S248,s813
Q21876094,"""248829""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157437,"""29712""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1349958,"""4589""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1911022,"""46091""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15514929,"""200524""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1144724,"""98722""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17271771,"""1902521""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159107,"""221188""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1477103,"""3560""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15509399,"""200625""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q163168,"""4309""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4431244,"""2527813""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q19848892,"""702219""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157891,"""669720""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12570316,"""665470""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q5753000,"""221190""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4431244,"""2527813""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159439,"""224743""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1226069,"""1479352""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q122679,"""39367""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159109,"""434244""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q811549,"""145751""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q872077,"""310424""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39577922,"""4586""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q925164,"""99028""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2000383,"""85337""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39069461,"""260593""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q22113352,"""565439""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15510207,"""649773""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q149625,"""470566""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q49631194,"""444604""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3315633,"""258340""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15537076,"""358659""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q261051,"""595332""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39317386,"""59341""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q11088866,"""325504""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q22696075,"""59351""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15600583,"""3621""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157851,"""110753""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q107348218,"""366479""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q899672,"""488216""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15558737,"""2604620""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17242678,"""277990""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160388,"""165376""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2838916,"""261773""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1323751,"""189238""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q848942,"""125586""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15514303,"""200282""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
