qid,-P846,#,P846,#,S248,s813
Q202305,"""2888370""",Remove identifier pointing to homonym with wrong authorship,"""8925249""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164729,"""3843741""",Remove identifier pointing to homonym with wrong authorship,"""8008282""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1450959,"""7339287""",Remove identifier pointing to homonym with wrong authorship,"""7663587""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1268279,"""3595638""",Remove identifier pointing to homonym with wrong authorship,"""7395695""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15546415,"""3007441""",Remove identifier pointing to homonym with wrong authorship,"""8174785""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3037134,"""3142980""",Remove identifier pointing to homonym with wrong authorship,"""8340385""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12839346,"""7265743""",Remove identifier pointing to homonym with wrong authorship,"""7460584""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157561,"""2926062""",Remove identifier pointing to homonym with wrong authorship,"""7558421""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159440,"""7332651""",Remove identifier pointing to homonym with wrong authorship,"""8051275""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158201,"""3026403""",Remove identifier pointing to homonym with wrong authorship,"""8170635""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17813184,"""3171967""",Remove identifier pointing to homonym with wrong authorship,"""8106874""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164379,"""3791952""",Remove identifier pointing to homonym with wrong authorship,"""7433196""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2601501,"""7307681""",Remove identifier pointing to homonym with wrong authorship,"""8372368""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159502,"""3729146""",Remove identifier pointing to homonym with wrong authorship,"""8328247""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1430020,"""7294855""",Remove identifier pointing to homonym with wrong authorship,"""7589756""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159777,"""2705296""",Remove identifier pointing to homonym with wrong authorship,"""8174035""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15349016,"""6045845""",Remove identifier pointing to homonym with wrong authorship,"""8402883""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164006,"""7331290""",Remove identifier pointing to homonym with wrong authorship,"""9823314""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2603234,"""5372686""",Remove identifier pointing to homonym with wrong authorship,"""7645931""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158832,"""7308040""",Remove identifier pointing to homonym with wrong authorship,"""7945074""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q935557,"""3158813""",Remove identifier pointing to homonym with wrong authorship,"""8022456""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q6077874,"""7303119""",Remove identifier pointing to homonym with wrong authorship,"""8022932""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158201,"""3026403""",Remove identifier pointing to homonym with wrong authorship,"""8170635""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q303325,"""3142949""",Remove identifier pointing to homonym with wrong authorship,"""7389416""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15512474,"""5289468""",Remove identifier pointing to homonym with wrong authorship,"""8960288""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2555142,"""2706012""",Remove identifier pointing to homonym with wrong authorship,"""8952395""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3555855,"""3147129""",Remove identifier pointing to homonym with wrong authorship,"""9074530""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2650767,"""3633948""",Remove identifier pointing to homonym with wrong authorship,"""7607769""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q494841,"""7296672""",Remove identifier pointing to homonym with wrong authorship,"""7628663""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1804888,"""3637893""",Remove identifier pointing to homonym with wrong authorship,"""7960717""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160372,"""7331429""",Remove identifier pointing to homonym with wrong authorship,"""7399841""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158890,"""2956453""",Remove identifier pointing to homonym with wrong authorship,"""7844167""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162579,"""3843647""",Remove identifier pointing to homonym with wrong authorship,"""8207244""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q900420,"""3134959""",Remove identifier pointing to homonym with wrong authorship,"""8605056""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q107592,"""2687921""",Remove identifier pointing to homonym with wrong authorship,"""7924597""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159295,"""2849512""",Remove identifier pointing to homonym with wrong authorship,"""8794742""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q4788949,"""5384480""",Remove identifier pointing to homonym with wrong authorship,"""7756154""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159553,"""3015796""",Remove identifier pointing to homonym with wrong authorship,"""8252683""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161311,"""2703668""",Remove identifier pointing to homonym with wrong authorship,"""7647071""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160358,"""7269813""",Remove identifier pointing to homonym with wrong authorship,"""8352976""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q20720096,"""2876362""",Remove identifier pointing to homonym with wrong authorship,"""8956987""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12849276,"""3083972""",Remove identifier pointing to homonym with wrong authorship,"""7793820""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
